instance,variant,kappa1,rows,basic_structural,basic_slack,singular,mip_obj,mip_gap,note
instance001.txt,Base,1.3476574969437906e+16,23763,10991,12772,0,232923.32737128847,0.31642177895558604,
instance001.txt,SA-Aug,15716602153024.793,23763,10991,12772,0,232923.32737128847,0.31642177895558604,
instance001.txt,Flat-Aug,26818944804168.7,23763,10991,12772,0,232923.32737128847,0.31642177895558604,
instance001.txt,SA-Mat,2384386562879.478,23763,10991,12772,0,232923.32737128847,0.31642177895558604,
instance001.txt,Flat-Mat,2384386562879.478,23763,10991,12772,0,232923.32737128847,0.31642177895558604,
instance001.txt,Ruiz,72080404435043.22,23763,10991,12772,0,232923.32737128847,0.31642177895558604,
instance002.txt,Base,1.126764236240236e+16,23763,10928,12835,0,1095089.5126887895,0.030612283011066797,
instance002.txt,SA-Aug,8471846802071.239,23763,10928,12835,0,1095089.5126887895,0.030612283011066797,
instance002.txt,Flat-Aug,9087146806800.395,23763,10928,12835,0,1095089.5126887895,0.030612283011066797,
instance002.txt,SA-Mat,4712834659924.038,23763,10928,12835,0,1095089.5126887895,0.030612283011066797,
instance002.txt,Flat-Mat,4712834659924.038,23763,10928,12835,0,1095089.5126887895,0.030612283011066797,
instance002.txt,Ruiz,2536626052656.178,23763,10928,12835,0,1095089.5126887895,0.030612283011066797,
instance003.txt,Base,1.827175056640361e+16,23763,10754,13009,0,105026.6435740887,0.579215122658486,
instance003.txt,SA-Aug,16199500700823.898,23763,10754,13009,0,105026.6435740887,0.579215122658486,
instance003.txt,Flat-Aug,24966209894676.883,23763,10754,13009,0,105026.6435740887,0.579215122658486,
instance003.txt,SA-Mat,4382011971480.7285,23763,10754,13009,0,105026.6435740887,0.579215122658486,
instance003.txt,Flat-Mat,4382011971480.7285,23763,10754,13009,0,105026.6435740887,0.579215122658486,
instance003.txt,Ruiz,54545325888258.83,23763,10754,13009,0,105026.6435740887,0.579215122658486,
instance004.txt,Base,9242041452961930.0,23763,10756,13007,0,-2603536.608067741,0.0009647386107869314,
instance004.txt,SA-Aug,17853695757225.844,23763,10756,13007,0,-2603536.608067741,0.0009647386107869314,
