instance,variant,kappa1,rows,basic_structural,basic_slack,singular,mip_obj,mip_gap,note
caso01a.txt,Base,730677218604824.8,14400,6359,8041,0,-344338773.2052542,0.0003833006146104239,
caso01a.txt,SA-Aug,1122576244195.0198,14400,6359,8041,0,-344338773.2052542,0.0003833006146104239,
caso01a.txt,Flat-Aug,3675579517376.5864,14400,6359,8041,0,-344338773.2052542,0.0003833006146104239,
caso01a.txt,SA-Mat,724308957017.5027,14400,6359,8041,0,-344338773.2052542,0.0003833006146104239,
caso01a.txt,Flat-Mat,724308957017.5027,14400,6359,8041,0,-344338773.2052542,0.0003833006146104239,
caso01a.txt,Ruiz,3996082161254.892,14400,6359,8041,0,-344338773.2052542,0.0003833006146104239,
caso01b.txt,Base,4988253154310978.0,14400,7223,7177,0,-353071903.56264025,0.0003886095403867907,
caso01b.txt,SA-Aug,2983740259833.793,14400,7223,7177,0,-353071903.56264025,0.0003886095403867907,
caso01b.txt,Flat-Aug,6442127938911.142,14400,7223,7177,0,-353071903.56264025,0.0003886095403867907,
caso01b.txt,SA-Mat,1273050449833.939,14400,7223,7177,0,-353071903.56264025,0.0003886095403867907,
caso01b.txt,Flat-Mat,1273050449833.939,14400,7223,7177,0,-353071903.56264025,0.0003886095403867907,
caso01b.txt,Ruiz,2725179964580.8936,14400,7223,7177,0,-353071903.56264025,0.0003886095403867907,
caso01c.txt,Base,813085471141740.2,14400,6873,7527,0,-347991475.2556703,0.00019353348154623837,
caso01c.txt,SA-Aug,1064170092612.8545,14400,6873,7527,0,-347991475.2556703,0.00019353348154623837,
caso01c.txt,Flat-Aug,7947910328179.032,14400,6873,7527,0,-347991475.2556703,0.00019353348154623837,
caso01c.txt,SA-Mat,1064248889485.6029,14400,6873,7527,0,-347991475.2556703,0.00019353348154623837,
caso01c.txt,Flat-Mat,1064248889485.6029,14400,6873,7527,0,-347991475.2556703,0.00019353348154623837,
caso01c.txt,Ruiz,2725179964580.8936,14400,6873,7527,0,-347991475.2556703,0.00019353348154623837,
caso01d.txt,Base,332496542463972.1,14400,6899,7501,0,-273065494.3838619,0.00045373602109834924,
caso01d.txt,SA-Aug,28476665194431.332,14400,6899,7501,0,-273065494.3838619,0.00045373602109834924,
caso01d.txt,Flat-Aug,28476665187250.273,14400,6899,7501,0,-273065494.3838619,0.00045373602109834924,
caso01d.txt,SA-Mat,28478779587068.73,14400,6899,7501,0,-273065494.3838619,0.00045373602109834924,
caso01d.txt,Flat-Mat,28478779587068.73,14400,6899,7501,0,-273065494.3838619,0.00045373602109834924,
caso01d.txt,Ruiz,2545094804601.295,14400,6899,7501,0,-273065494.3838619,0.00045373602109834924,
caso01e.txt,Base,316473082331025.0,14400,6960,7440,0,-282965696.04940116,0.0009382661864849918,
caso01e.txt,SA-Aug,676986704280.7229,14400,6960,7440,0,-282965696.04940116,0.0009382661864849918,
caso01e.txt,Flat-Aug,4006580941762.4575,14400,6960,7440,0,-282965696.04940116,0.0009382661864849918,
caso01e.txt,SA-Mat,359154992076.0017,14400,6960,7440,0,-282965696.04940116,0.0009382661864849918,
caso01e.txt,Flat-Mat,359154992076.0017,14400,6960,7440,0,-282965696.04940116,0.0009382661864849918,
caso01e.txt,Ruiz,2725179964580.8936,14400,6960,7440,0,-282965696.04940116,0.0009382661864849918,
caso01f.txt,Base,258984414541898.38,14400,6909,7491,0,-277731432.85533893,0.0008009095824407867,
caso01f.txt,SA-Aug,676986704280.7229,14400,6909,7491,0,-277731432.85533893,0.0008009095824407867,
caso01f.txt,Flat-Aug,4126788511964.913,14400,6909,7491,0,-277731432.85533893,0.0008009095824407867,
caso01f.txt,SA-Mat,369930460074.1108,14400,6909,7491,0,-277731432.85533893,0.0008009095824407867,
caso01f.txt,Flat-Mat,369930460074.1108,14400,6909,7491,0,-277731432.85533893,0.0008009095824407867,
caso01f.txt,Ruiz,2725179964580.8916,14400,6909,7491,0,-277731432.85533893,0.0008009095824407867,
caso02a.txt,Base,514710873523756.0,14400,6448,7952,0,-371538911.69630015,0.00020814761912992671,
caso02a.txt,SA-Aug,1077106846443.7511,14400,6448,7952,0,-371538911.69630015,0.00020814761912992671,
caso02a.txt,Flat-Aug,4895898734024.995,14400,6448,7952,0,-371538911.69630015,0.00020814761912992671,
caso02a.txt,SA-Mat,753125216170.5111,14400,6448,7952,0,-371538911.69630015,0.00020814761912992671,
caso02a.txt,Flat-Mat,753125216170.5111,14400,6448,7952,0,-371538911.69630015,0.00020814761912992671,
caso02a.txt,Ruiz,3549797924603.7266,14400,6448,7952,0,-371538911.69630015,0.00020814761912992671,
caso02b.txt,Base,1214795612612247.0,14400,7222,7178,0,-378947212.69714177,0.00010929529594576475,
caso02b.txt,SA-Aug,2275095557709.008,14400,7222,7178,0,-378947212.69714177,0.00010929529594576475,
caso02b.txt,Flat-Aug,2610239629972.193,14400,7222,7178,0,-378947212.69714177,0.00010929529594576475,
caso02b.txt,SA-Mat,359169482431.7973,14400,7222,7178,0,-378947212.69714177,0.00010929529594576475,
caso02b.txt,Flat-Mat,359169482431.7973,14400,7222,7178,0,-378947212.69714177,0.00010929529594576475,
caso02b.txt,Ruiz,2536581471357.3716,14400,7222,7178,0,-378947212.69714177,0.00010929529594576475,
caso02c.txt,Base,827035591605136.6,14400,6941,7459,0,-374433133.37088025,0.00020996575743513021,
caso02c.txt,SA-Aug,672436517157.6953,14400,6941,7459,0,-374433133.37088025,0.00020996575743513021,
caso02c.txt,Flat-Aug,8188022071015.754,14400,6941,7459,0,-374433133.37088025,0.00020996575743513021,
caso02c.txt,SA-Mat,1215969954011.0198,14400,6941,7459,0,-374433133.37088025,0.00020996575743513021,
caso02c.txt,Flat-Mat,1215969954011.0198,14400,6941,7459,0,-374433133.37088025,0.00020996575743513021,
caso02c.txt,Ruiz,2536581471357.372,14400,6941,7459,0,-374433133.37088025,0.00020996575743513021,
caso02d.txt,Base,747580127692948.1,14400,6907,7493,0,-282073437.49539053,0.0009944191502764654,
caso02d.txt,SA-Aug,1469669983743.1528,14400,6907,7493,0,-282073437.49539053,0.0009944191502764654,
caso02d.txt,Flat-Aug,11870032414449.365,14400,6907,7493,0,-282073437.49539053,0.0009944191502764654,
caso02d.txt,SA-Mat,1093137075961.9712,14400,6907,7493,0,-282073437.49539053,0.0009944191502764654,
caso02d.txt,Flat-Mat,1093137075961.9712,14400,6907,7493,0,-282073437.49539053,0.0009944191502764654,
caso02d.txt,Ruiz,3215612110643.4966,14400,6907,7493,0,-282073437.49539053,0.0009944191502764654,
caso02e.txt,Base,2060095347305533.8,14400,7063,7337,0,-291227257.13442063,0.0009960423574409565,
caso02e.txt,SA-Aug,1473380081535.3171,14400,7063,7337,0,-291227257.13442063,0.0009960423574409565,
caso02e.txt,Flat-Aug,11825590392625.629,14400,7063,7337,0,-291227257.13442063,0.0009960423574409565,
caso02e.txt,SA-Mat,1011592096500.539,14400,7063,7337,0,-291227257.13442063,0.0009960423574409565,
caso02e.txt,Flat-Mat,1011592096500.539,14400,7063,7337,0,-291227257.13442063,0.0009960423574409565,
caso02e.txt,Ruiz,2536581471357.3716,14400,7063,7337,0,-291227257.13442063,0.0009960423574409565,
caso02f.txt,Base,252854033590427.7,14400,6908,7492,0,-286108206.80207264,0.000980272006739546,
caso02f.txt,SA-Aug,672436517157.6953,14400,6908,7492,0,-286108206.80207264,0.000980272006739546,
caso02f.txt,Flat-Aug,3834262205533.804,14400,6908,7492,0,-286108206.80207264,0.000980272006739546,
caso02f.txt,SA-Mat,416637928766.16003,14400,6908,7492,0,-286108206.80207264,0.000980272006739546,
caso02f.txt,Flat-Mat,416637928766.16003,14400,6908,7492,0,-286108206.80207264,0.000980272006739546,
caso02f.txt,Ruiz,2536581471357.372,14400,6908,7492,0,-286108206.80207264,0.000980272006739546,
caso03a.txt,Base,855298223326917.8,14400,6785,7615,0,-373599814.8281172,0.0001391488976276472,
caso03a.txt,SA-Aug,781722664482.5363,14400,6785,7615,0,-373599814.8281172,0.0001391488976276472,
caso03a.txt,Flat-Aug,4769532390136.564,14400,6785,7615,0,-373599814.8281172,0.0001391488976276472,
caso03a.txt,SA-Mat,781776148546.9769,14400,6785,7615,0,-373599814.8281172,0.0001391488976276472,
caso03a.txt,Flat-Mat,781776148546.9769,14400,6785,7615,0,-373599814.8281172,0.0001391488976276472,
caso03a.txt,Ruiz,2241215348290.385,14400,6785,7615,0,-373599814.8281172,0.0001391488976276472,
caso03b.txt,Base,5868182736075100.0,14400,7221,7179,0,-379994218.7096822,0.0001789133636709889,
caso03b.txt,SA-Aug,3812612983989.3247,14400,7221,7179,0,-379994218.7096822,0.0001789133636709889,
