class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso03c.txt,Augmented,20,20,0.048525,0.008333,0.040192,0.048216,0.008148,0.0074,0.0148,0.0078,0.0205,0.039732,0.000191,0.004330,0.004166,0.004403,0.003933,0.008739,0.008088
Simple,caso03c.txt,Matrix-only,20,20,0.049873,0.008312,0.041561,0.049536,0.008201,0.0081,0.0111,0.0079,0.0141,0.039815,0.000192,0.004311,0.004127,0.005625,0.003917,0.009923,0.008058
Simple,caso03d.txt,Augmented,20,20,0.048618,0.008344,0.040274,0.048381,0.008130,0.0093,0.0121,0.0089,0.0117,0.039775,0.000192,0.004372,0.004153,0.004391,0.003943,0.008761,0.008090
Simple,caso03d.txt,Matrix-only,20,20,0.049852,0.008370,0.041482,0.049574,0.008143,0.0043,0.0197,0.0074,0.0129,0.039812,0.000193,0.004324,0.004178,0.005622,0.003932,0.009963,0.008116
Simple,caso03e.txt,Augmented,20,20,0.048606,0.008392,0.040214,0.048090,0.008221,0.0070,0.0099,0.0055,0.0157,0.039703,0.000192,0.004344,0.004195,0.004402,0.003928,0.008755,0.008147
Simple,caso03e.txt,Matrix-only,20,20,0.049773,0.008327,0.041446,0.049304,0.008090,0.0078,0.0221,0.0069,0.0205,0.039757,0.000193,0.004301,0.004140,0.005645,0.003927,0.009970,0.008081
Simple,caso03f.txt,Augmented,20,20,0.048689,0.008324,0.040366,0.048360,0.008147,0.0088,0.0153,0.0052,0.0139,0.039802,0.000191,0.004358,0.004133,0.004416,0.003938,0.008795,0.008081
Simple,caso03f.txt,Matrix-only,20,20,0.050032,0.008375,0.041657,0.049685,0.008096,0.0050,0.0192,0.0090,0.0293,0.039935,0.000194,0.004418,0.004204,0.005665,0.003928,0.010069,0.008119
Simple,caso04a.txt,Augmented,20,20,0.048966,0.008424,0.040542,0.048368,0.008178,0.0134,0.0261,0.0101,0.0401,0.039848,0.000195,0.004400,0.004189,0.004410,0.003948,0.008822,0.008166
Simple,caso04a.txt,Matrix-only,20,20,0.049901,0.008328,0.041573,0.049613,0.008220,0.0119,0.0125,0.0072,0.0149,0.039855,0.000194,0.004359,0.004170,0.005622,0.003923,0.009987,0.008078
