class,instance,kernel,policy,result,bytes
Simple,caso04f.txt,Matrix-only,role-blind,identical,1728680
Simple,caso05a.txt,Augmented,selective,identical,1757767
Simple,caso05a.txt,Augmented,role-blind,identical,1768527
Simple,caso05a.txt,Matrix-only,selective,identical,1729136
Simple,caso05a.txt,Matrix-only,role-blind,identical,1729136
Simple,caso05b.txt,Augmented,selective,identical,1757767
Simple,caso05b.txt,Augmented,role-blind,identical,1768527
Simple,caso05b.txt,Matrix-only,selective,identical,1729136
Simple,caso05b.txt,Matrix-only,role-blind,identical,1729136
Simple,caso05c.txt,Augmented,selective,identical,1757767
Simple,caso05c.txt,Augmented,role-blind,identical,1768527
Simple,caso05c.txt,Matrix-only,selective,identical,1729136
Simple,caso05c.txt,Matrix-only,role-blind,identical,1729136
Simple,caso05d.txt,Augmented,selective,identical,1757842
Simple,caso05d.txt,Augmented,role-blind,identical,1768621
Simple,caso05d.txt,Matrix-only,selective,identical,1729211
Simple,caso05d.txt,Matrix-only,role-blind,identical,1729211
Simple,caso05e.txt,Augmented,selective,identical,1757842
Simple,caso05e.txt,Augmented,role-blind,identical,1768621
Simple,caso05e.txt,Matrix-only,selective,identical,1729211
Simple,caso05e.txt,Matrix-only,role-blind,identical,1729211
Simple,caso05f.txt,Augmented,selective,identical,1757842
Simple,caso05f.txt,Augmented,role-blind,identical,1768621
Simple,caso05f.txt,Matrix-only,selective,identical,1729211
Simple,caso05f.txt,Matrix-only,role-blind,identical,1729211
Simple,caso09a.txt,Augmented,selective,identical,1758585
Simple,caso09a.txt,Augmented,role-blind,identical,1769383
Simple,caso09a.txt,Matrix-only,selective,identical,1733286
Simple,caso09a.txt,Matrix-only,role-blind,identical,1733286
Simple,caso09b.txt,Augmented,selective,identical,1758582
Simple,caso09b.txt,Augmented,role-blind,identical,1769380
Simple,caso09b.txt,Matrix-only,selective,identical,1733283
Simple,caso09b.txt,Matrix-only,role-blind,identical,1733283
Simple,caso09c.txt,Augmented,selective,identical,1758582
Simple,caso09c.txt,Augmented,role-blind,identical,1769380
Simple,caso09c.txt,Matrix-only,selective,identical,1733283
Simple,caso09c.txt,Matrix-only,role-blind,identical,1733283
Simple,caso09d.txt,Augmented,selective,identical,1758673
Simple,caso09d.txt,Augmented,role-blind,identical,1769469
Simple,caso09d.txt,Matrix-only,selective,identical,1733374
Simple,caso09d.txt,Matrix-only,role-blind,identical,1733374
Simple,caso09e.txt,Augmented,selective,identical,1758670
Simple,caso09e.txt,Augmented,role-blind,identical,1769466
Simple,caso09e.txt,Matrix-only,selective,identical,1733371
Simple,caso09e.txt,Matrix-only,role-blind,identical,1733371
Simple,caso09f.txt,Augmented,selective,identical,1758670
Simple,caso09f.txt,Augmented,role-blind,identical,1769466
Simple,caso09f.txt,Matrix-only,selective,identical,1733371
Simple,caso09f.txt,Matrix-only,role-blind,identical,1733371
Simple,caso10a.txt,Augmented,selective,identical,1784196
Simple,caso10a.txt,Augmented,role-blind,identical,1794946
Simple,caso10a.txt,Matrix-only,selective,identical,1737120
Simple,caso10a.txt,Matrix-only,role-blind,identical,1737120
Simple,caso10b.txt,Augmented,selective,identical,1784196
Simple,caso10b.txt,Augmented,role-blind,identical,1794946
Simple,caso10b.txt,Matrix-only,selective,identical,1737120
Simple,caso10b.txt,Matrix-only,role-blind,identical,1737120
Simple,caso10c.txt,Augmented,selective,identical,1784196
Simple,caso10c.txt,Augmented,role-blind,identical,1794946
Simple,caso10c.txt,Matrix-only,selective,identical,1737120
Simple,caso10c.txt,Matrix-only,role-blind,identical,1737120
Simple,caso10d.txt,Augmented,selective,identical,1784278
Simple,caso10d.txt,Augmented,role-blind,identical,1795102
Simple,caso10d.txt,Matrix-only,selective,identical,1737202
Simple,caso10d.txt,Matrix-only,role-blind,identical,1737202
Simple,caso10e.txt,Augmented,selective,identical,1784278
Simple,caso10e.txt,Augmented,role-blind,identical,1795102
Simple,caso10e.txt,Matrix-only,selective,identical,1737202
Simple,caso10e.txt,Matrix-only,role-blind,identical,1737202
Simple,caso10f.txt,Augmented,selective,identical,1784278
Simple,caso10f.txt,Augmented,role-blind,identical,1795102
Simple,caso10f.txt,Matrix-only,selective,identical,1737202
Simple,caso10f.txt,Matrix-only,role-blind,identical,1737202
Simple,caso11a.txt,Augmented,selective,identical,1770701
Simple,caso11a.txt,Augmented,role-blind,identical,1781595
Simple,caso11a.txt,Matrix-only,selective,identical,1731258
Simple,caso11a.txt,Matrix-only,role-blind,identical,1731258
