class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat
Simple,caso04f.txt,Matrix-only,20,20,0.385183,0.060067,0.325116,0.224242,0.015650,0.2028,0.7953
Simple,caso05a.txt,Augmented,20,20,0.353447,0.056590,0.296856,0.188802,0.015214,0.3655,0.6810
Simple,caso05a.txt,Matrix-only,20,20,0.348769,0.027209,0.321561,0.049655,0.008605,0.3137,1.5637
Simple,caso05b.txt,Augmented,20,20,0.329554,0.044122,0.285432,0.182846,0.014922,0.2898,0.7094
Simple,caso05b.txt,Matrix-only,20,20,0.429904,0.057044,0.372860,0.203640,0.014177,0.2113,0.7536
Simple,caso05c.txt,Augmented,20,20,0.329566,0.065440,0.264126,0.212645,0.014695,0.2934,0.6246
Simple,caso05c.txt,Matrix-only,20,20,0.337981,0.053771,0.284210,0.202476,0.014587,0.3139,0.6855
Simple,caso05d.txt,Augmented,20,20,0.317518,0.082908,0.234610,0.187573,0.014673,0.3017,0.6109
Simple,caso05d.txt,Matrix-only,20,20,0.368395,0.055972,0.312423,0.062277,0.007970,0.3167,1.0555
Simple,caso05e.txt,Augmented,20,20,0.338598,0.037955,0.300643,0.203150,0.014490,0.3134,0.8579
Simple,caso05e.txt,Matrix-only,20,20,0.324036,0.032283,0.291753,0.049021,0.008043,0.4402,1.3318
Simple,caso05f.txt,Augmented,20,20,0.315057,0.091017,0.224040,0.190003,0.015396,0.2805,0.5124
Simple,caso05f.txt,Matrix-only,20,20,0.326016,0.042383,0.283633,0.049065,0.008388,0.4086,1.1390
Simple,caso09a.txt,Augmented,20,20,0.351742,0.070398,0.281343,0.206320,0.020292,0.2580,0.5469
Simple,caso09a.txt,Matrix-only,20,20,0.314991,0.075359,0.239632,0.218350,0.014876,0.3184,0.5881
Simple,caso09b.txt,Augmented,20,20,0.361597,0.072445,0.289152,0.225908,0.016202,0.2623,0.6587
