class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso27f.txt,Matrix-only,20,20,0.008602,0.001388,0.007214,0.008457,0.001373,0.0097,0.0223,0.0129,0.0278,0.007000,0.000072,0.000649,0.000625,0.000877,0.000644,0.001531,0.001269
Simple,caso28a.txt,Augmented,20,20,0.008411,0.001397,0.007014,0.008266,0.001357,0.0088,0.1469,0.0077,0.0372,0.006985,0.000072,0.000646,0.000621,0.000709,0.000649,0.001357,0.001276
Simple,caso28a.txt,Matrix-only,20,20,0.008560,0.001393,0.007167,0.008411,0.001372,0.0106,0.0621,0.0115,0.0560,0.007000,0.000072,0.000646,0.000625,0.000878,0.000645,0.001525,0.001273
Simple,caso28b.txt,Augmented,20,20,0.008447,0.001421,0.007025,0.008304,0.001385,0.0117,0.0500,0.0186,0.0727,0.006982,0.000074,0.000652,0.000647,0.000714,0.000646,0.001363,0.001288
Simple,caso28b.txt,Matrix-only,20,20,0.008590,0.001400,0.007190,0.008442,0.001359,0.0228,0.0605,0.0243,0.0669,0.007032,0.000073,0.000644,0.000626,0.000876,0.000643,0.001523,0.001270
Simple,caso28c.txt,Augmented,20,20,0.008375,0.001423,0.006952,0.008279,0.001364,0.0097,0.0556,0.0143,0.0575,0.006979,0.000073,0.000644,0.000624,0.000710,0.000649,0.001355,0.001296
Simple,caso28c.txt,Matrix-only,20,20,0.008578,0.001403,0.007175,0.008460,0.001373,0.0123,0.1215,0.0108,0.0599,0.007019,0.000072,0.000643,0.000624,0.000875,0.000651,0.001520,0.001280
Simple,caso28d.txt,Augmented,20,20,0.008396,0.001413,0.006983,0.008268,0.001365,0.0171,0.0823,0.0186,0.0429,0.007002,0.000072,0.000644,0.000630,0.000711,0.000648,0.001357,0.001290
Simple,caso28d.txt,Matrix-only,20,20,0.008617,0.001410,0.007208,0.008458,0.001378,0.0111,0.0571,0.0159,0.0647,0.007024,0.000074,0.000650,0.000642,0.000881,0.000652,0.001534,0.001286
Simple,caso28e.txt,Augmented,20,20,0.008427,0.001396,0.007031,0.008259,0.001348,0.0426,0.0261,0.0174,0.0146,0.006987,0.000072,0.000648,0.000624,0.000716,0.000649,0.001365,0.001273
Simple,caso28e.txt,Matrix-only,20,20,0.008584,0.001398,0.007186,0.008492,0.001366,0.0107,0.0675,0.0148,0.0425,0.006985,0.000072,0.000647,0.000634,0.000882,0.000645,0.001531,0.001277
Simple,caso28f.txt,Augmented,20,20,0.008412,0.001400,0.007012,0.008308,0.001349,0.0121,0.0408,0.0102,0.0359,0.007003,0.000072,0.000644,0.000620,0.000711,0.000648,0.001356,0.001274
Simple,caso28f.txt,Matrix-only,20,20,0.008582,0.001389,0.007193,0.008474,0.001371,0.0096,0.0458,0.0163,0.0355,0.007009,0.000073,0.000645,0.000620,0.000876,0.000646,0.001523,0.001267
Simple,caso29a.txt,Augmented,20,20,0.008485,0.001407,0.007077,0.008333,0.001361,0.0104,0.0501,0.0150,0.0421,0.007072,0.000073,0.000647,0.000631,0.000711,0.000647,0.001363,0.001286
Simple,caso29a.txt,Matrix-only,20,20,0.008644,0.001391,0.007254,0.008445,0.001370,0.0138,0.1374,0.0194,0.0291,0.007036,0.000072,0.000644,0.000623,0.000876,0.000649,0.001522,0.001270
Simple,caso29b.txt,Augmented,20,20,0.008440,0.001414,0.007026,0.008335,0.001372,0.0107,0.0690,0.0178,0.0617,0.007019,0.000074,0.000641,0.000640,0.000705,0.000648,0.001349,0.001290
Simple,caso29b.txt,Matrix-only,20,20,0.008621,0.001385,0.007236,0.008528,0.001358,0.0083,0.0424,0.0109,0.0434,0.007046,0.000073,0.000642,0.000624,0.000873,0.000644,0.001517,0.001265
Simple,caso29c.txt,Augmented,20,20,0.008394,0.001408,0.006985,0.008304,0.001368,0.0958,0.1028,0.0134,0.0385,0.007012,0.000073,0.000643,0.000630,0.000703,0.000650,0.001347,0.001278
Simple,caso29c.txt,Matrix-only,20,20,0.008674,0.001485,0.007189,0.008518,0.001360,0.0369,0.0785,0.0203,0.1153,0.007058,0.000074,0.000648,0.000704,0.000862,0.000646,0.001538,0.001359
Simple,caso29d.txt,Augmented,20,20,0.008575,0.001538,0.007037,0.008432,0.001456,0.0245,0.0706,0.0120,0.0623,0.007060,0.000074,0.000705,0.000742,0.000723,0.000649,0.001429,0.001404
Simple,caso29d.txt,Matrix-only,20,20,0.008728,0.001490,0.007238,0.008513,0.001360,0.0234,0.0835,0.0176,0.1064,0.007067,0.000073,0.000701,0.000713,0.000916,0.000651,0.001624,0.001364
Simple,caso29e.txt,Augmented,20,20,0.008432,0.001405,0.007027,0.008352,0.001347,0.0207,0.0409,0.0117,0.0442,0.007029,0.000072,0.000640,0.000618,0.000695,0.000644,0.001339,0.001284
Simple,caso29e.txt,Matrix-only,20,20,0.008567,0.001425,0.007141,0.008463,0.001361,0.0335,0.0880,0.0182,0.0672,0.007021,0.000073,0.000640,0.000631,0.000844,0.000648,0.001482,0.001301
Simple,caso29f.txt,Augmented,20,20,0.008439,0.001400,0.007039,0.008343,0.001347,0.0276,0.0867,0.0067,0.0879,0.007051,0.000073,0.000637,0.000623,0.000696,0.000639,0.001333,0.001270
