instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
instance001.txt,base,OK,0,56.77364296,0.0,-989879.4735171887,-989879.0,OPTIMAL,-989879.4735171887,26934.0,997331.0,0.12,10080.0,6120.0,22679.0,8680.0,5624.0,20649.0,13.88888888888889,8.104575163398692,8.951011949380485,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,10000000000.0,0.0009,100.0,40.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,56.77364296,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,495450.428678,,,48.071342,,1.050696,2.527573,48.071342,1.0,0.964600920548196,,,,,,,,BASE,BASE,,,,,,3.48765799150827e-09,5.6843418860808e-14,1.26659870147705e-07,2.8421709430404e-13,0.237494972087584,0.0324106940190175,8.4091780873921,7.67160232321581,1.13686837721616e-13,0.0,2.38418579101562e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989879.473517189,33.5620766271326,0.0,1.7629936337471e-05,0.0,0.0,0.0,518.0,0.0,189.0,0.0,0.0,0.0,0.0,-989879.473517189,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance001_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance001_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance001_base.log
instance002.txt,base,OK,0,99.084040551,0.0,2400390.5530608753,2400390.0,OPTIMAL,2400390.5530608753,17434.0,3068441.0,0.13,10080.0,6120.0,22679.0,8733.0,5611.0,20711.0,13.363095238095237,8.316993464052288,8.677631288857533,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.001,100.0,40.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,99.084040551,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,158965561.801751,,,101.855401,,0.961052,3.330316,101.855401,1.0,0.881616698029501,,,,,,,,BASE,BASE,,,,,,6.5044919591566e-10,1.4210854715202e-14,2.23517417907715e-08,3.12638803734444e-13,0.10032663123425,7.105427357601e-14,2.52090016862616,4.06410192996506,1.13686837721616e-13,0.0,2.17929482460022e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400390.55306087,20.4930703286607,0.0,1.07772648334503e-05,0.0,0.0,0.0,195.0,0.0,61.0,0.0,0.0,0.0,0.0,2400390.55306087,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance002_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance002_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance002_base.log
instance003.txt,base,OK,0,73.154798021,0.019537926548168,271315.7487579454,271316.0,OPTIMAL,271262.73928623943,21356.0,1092943.0,0.07,10080.0,6120.0,22679.0,8871.0,5688.0,21563.0,11.994047619047619,7.0588235294117645,4.920851889413114,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0003,10000000000.0,0.001,100.0,40.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,73.154798021,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,3344322705.190413,,,63.768009,,0.98792,2.896618,63.768009,1.0,0.774696708621707,,,,,,,,BASE,BASE,,,,,,5.6416072479422e-10,8.5265128291212e-14,2.42143869400024e-08,3.90798504668055e-13,0.0537517925432739,4.54747350886464e-13,0.207538204827734,2.1499814404734,5.6843418860808e-13,0.0,5.96046447753906e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271315.748757946,25.0117380578399,0.0,1.30552798509598e-05,0.0,0.0,0.0,129.0,0.0,44.0,0.0,0.0,0.0,0.0,271315.748757946,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance003_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance003_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance003_base.log
instance004.txt,base,OK,0,0.363467962,0.044719419837546,-6879397.720699709,-6879400.0,OPTIMAL,-6882474.147448723,1.0,6433.0,0.09,10080.0,6120.0,22679.0,8842.0,5699.0,21126.0,12.281746031746032,6.879084967320262,6.847744609550686,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.002,100.0,40.0,8000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.363467962,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,535584.182067,,,0.294358,,,,0.294358,1.0,0.658775536912564,,,,,,,,BASE,BASE,,,,,,4.17432668241423e-09,1.56319401867222e-13,1.63912773132324e-07,5.40012479177676e-13,2.91118207799101,21.7756944841178,58.5572145742951,20.860266263655,1.13686837721616e-13,0.0,2.34693288803101e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6879397.72069971,90.3371690562119,0.0,5.79468905925751e-05,0.0,0.0,0.0,2503.0,0.0,320.0,0.0,0.0,0.0,0.0,-6879397.72069971,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance004_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance004_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance004_base.log
instance005.txt,base,OK,0,0.47233773,0.047392293432392,-2539851.2837705463,-2539850.0,OPTIMAL,-2541054.977543697,1.0,6209.0,0.08,10080.0,6120.0,22679.0,8809.0,5676.0,21072.0,12.609126984126984,7.254901960784314,7.085850346135191,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0005,10000000000.0,0.003,100.0,10.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.47233773,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,281652.588766,,,0.328031,,1.244805,0.34761,0.328031,1.0,0.74248857797481,,,,,,,,BASE,BASE,,,,,,2.75230059793504e-09,3.37729844090969e-14,1.2572854757309e-07,2.23820961764432e-13,1.04393792657226,6.25026890136195,30.206894358255,10.7379183999898,5.6843418860808e-14,0.0,2.36555933952332e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2539851.28377055,45.1254100212382,0.0,2.32541933655739e-05,0.0,0.0,0.0,2360.0,0.0,187.0,0.0,0.0,0.0,0.0,-2539851.28377055,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance005_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance005_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance005_base.log
instance009.txt,base,OK,0,0.323829378,0.009546268504994,-26183467.307498153,-26183500.0,OPTIMAL,-26185966.851591244,1.0,6167.0,0.1,10080.0,6120.0,22679.0,8630.0,5585.0,20624.0,14.384920634920634,8.741830065359476,9.061246086688126,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,10000000000.0,0.007,100.0,10.0,9000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.323829378,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,408306.200009,,,0.252266,,,,0.252266,1.0,0.597218064563815,,,,,,,,BASE,BASE,,,,,,2.96471183215509e-09,1.77635683940025e-14,1.45286321640015e-07,2.00728322852228e-13,1.25039430499119,6.43487810496787,33.8294888523753,11.0696865368577,5.6843418860808e-14,0.0,2.38418579101562e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26183467.3074983,44.936391864981,0.0,2.30371952056885e-05,0.0,0.0,0.0,2277.0,0.0,229.0,0.0,0.0,0.0,0.0,-26183467.3074983,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance009_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance009_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance009_base.log
instance010.txt,base,OK,0,49.683123118,0.0,71613.86077580127,71613.9,OPTIMAL,71613.86077580127,24334.0,1530760.0,0.1,10080.0,6120.0,22679.0,8681.0,5569.0,20833.0,13.878968253968255,9.00326797385621,8.139688698796244,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,1.0,100.0,10.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,49.683123118,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,1074324427.995072,,,50.38181,,0.993004,2.600522,50.38181,1.0,0.905435165575882,,,,,,,,BASE,BASE,,,,,,1.5860220406846e-09,2.50466314355409e-14,6.93090260028823e-08,2.46469511466785e-13,0.395774579211505,1.01692043244837e-05,13.6004725669277,85.1120490869634,1.13686837721616e-13,0.0,2.08616256713867e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71613.8607758013,85.1120490869634,0.0,0.000167116522789001,0.0,0.0,0.0,424.0,0.0,165.0,0.0,0.0,0.0,0.0,71613.8607758013,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance010_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance010_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance010_base.log
instance011.txt,base,OK,0,86.183512122,0.0,-232688.66750460144,-232689.0,OPTIMAL,-232688.66750460144,37680.0,1948788.0,0.12,10080.0,6120.0,22679.0,8688.0,5590.0,20948.0,13.80952380952381,8.660130718954248,7.632611667181092,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.0005,100.0,20.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,86.183512122,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,484042.237812,,,94.045246,,1.076902,2.56396,94.045246,1.0,0.99229705959115,,,,,,,,BASE,BASE,,,,,,2.37025550243622e-09,5.6843418860808e-14,8.5681676864624e-08,2.8421709430404e-13,0.22095671342228,0.00652575103890965,7.78710224026882,9.50903958146057,1.13686837721616e-13,0.0,2.36555933952332e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232688.667504601,39.2773886428973,0.0,2.56188213825226e-05,0.0,0.0,0.0,542.0,0.0,94.0,0.0,0.0,0.0,0.0,-232688.667504601,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance011_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance011_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance011_base.log
instance012.txt,base,OK,0,41.283041056,0.0,121231.38818528684,121231.0,OPTIMAL,121231.38818528684,15236.0,912255.0,0.13,10080.0,6120.0,22679.0,8855.0,5631.0,21045.0,12.152777777777779,7.990196078431373,7.204903214427444,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,9000000000.0,1.0,100.0,20.0,6000000000.0,1.0,4000000000.0,,,,,,,,,0.0,41.283041056,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,7028355284.422222,,,42.324762,,0.998008,2.751249,42.324762,1.0,0.976702414879567,,,,,,,,BASE,BASE,,,,,,2.23915026498388e-09,5.6843418860808e-14,8.5681676864624e-08,6.53699316899292e-13,1.19668420843932,2.1832063794136e-05,35.2389786470309,105.708212059501,1.13686837721616e-13,0.0,2.34693288803101e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121231.388185287,250.000524709862,0.0,0.000167116522789001,0.0,0.0,0.0,441.0,0.0,135.0,0.0,0.0,0.0,0.0,121231.388185287,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance012_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance012_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance012_base.log
instance014.txt,base,OK,0,0.425199499,0.0,237180.17229124738,237180.0,OPTIMAL,237180.17229124738,1.0,8802.0,0.11,10080.0,6120.0,22679.0,8796.0,5659.0,21593.0,12.738095238095237,7.532679738562091,4.788570924643944,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0005,4000000000.0,1.0,100.0,30.0,3000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.425199499,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,1951799759.711111,,,0.456456,,,,0.456456,1.0,0.263344660761415,,,,,,,,BASE,BASE,,,,,,1.08433545453933e-09,0.0,4.09781932830811e-08,2.90434343241941e-11,1.4353348233692,0.000167116522789001,53.1299992942956,72.6996405006571,2.90434343241941e-11,0.0,2.38418579101562e-07,0.0,1.15234797704034e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237180.172291247,171.410843108061,0.0,0.000167116522789001,0.0,1.15234797704034e-07,0.0,494.0,0.0,151.0,0.0,0.0,0.0,0.0,237180.172291247,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance014_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/resultados/instance014_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag1/logs/instance014_base.log
