instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_S6_seed20250803,Base,43,38,1178729.6638860297,6.999741984054721e-19,0.005121098528817647,1.6839615896859532e+24,230171252.76013258,234258818.78590655,1
coupling_S6_seed20250803,Flat,43,38,17.830408141922646,2.4840782060949876e-18,0.0005999983649022213,7.177877128897784e+18,29717.42788803829,16475.202118262965,1
coupling_S6_seed20250803,FlatMat,43,38,118.09905293417192,1.4019885015592526e-16,0.0062433584523757845,8.423681991886912e+17,18915.949458136864,13920.30588570283,1
coupling_S6_seed20250803,Ruiz,43,38,680.8069187761794,2.364844058368591e-18,0.0007673955117098738,2.8788660138793258e+20,887165.6250102872,23546673.488898505,1
coupling_S6_seed20250803,SAAug,43,38,680.806905534849,7.518027886598282e-18,0.0005994367061497362,9.055658156688441e+19,1135744.4389880036,23546673.488898505,1
coupling_S6_seed20250803,SAMat,43,38,10.00058163380746,1.0073067776597227e-16,0.005534084908436638,9.92803965544819e+16,1807.088579100351,139322.9892408597,1
coupling_S6_seed20250804,Base,43,38,5263754.703969566,1.011876910274201e-17,0.0060906032593272584,5.2019713569145286e+23,864241928.0731442,1004893982.0822976,1
coupling_S6_seed20250804,Flat,43,38,26.4489407073105,2.735185018949853e-18,0.0004856276057931184,9.66989089369366e+18,54463.42092541168,27584.29481731716,1
coupling_S6_seed20250804,FlatMat,43,38,138.64748390753834,2.9548474845276954e-16,0.005208080949563632,4.6922044076227456e+17,26621.606931657843,19180.368289439513,1
coupling_S6_seed20250804,Ruiz,43,38,24.58043114178405,1.2558720102857095e-18,0.00043086241257085135,1.9572401439372816e+19,57049.37452101841,12185945.812099593,1
coupling_S6_seed20250804,SAAug,43,38,10.00069192607542,3.68324108251316e-18,0.00040149867856505817,2.715187983093335e+18,24908.40558135218,4957828.061341174,1
coupling_S6_seed20250804,SAMat,43,38,10.000536086803121,3.2163626966254623e-16,0.004722909560630777,3.1092687703707876e+16,2117.4523793903604,192009.80488530212,1
coupling_S6_seed20250805,Base,43,38,230314.93495559797,1.573081102600965e-19,1.4643178639912655e-05,1.4641008310047743e+24,15728479493.36851,4367294447119.4062,1
coupling_S6_seed20250805,Flat,43,38,13.286695775351275,4.469794435389956e-18,0.0015715974650795485,2.972551862822324e+18,8454.261393631576,13977.768670236785,1
coupling_S6_seed20250805,FlatMat,43,38,118.35280587127035,2.0108959093792796e-16,0.016857783754694263,5.885575942506309e+17,7020.6622408662415,13977.768670236761,1
coupling_S6_seed20250805,Ruiz,43,38,23.609864153289813,1.6662550665127665e-18,1.464306689611748e-05,1.4169417772695437e+19,1612357.8701637853,448055216.9983628,1
coupling_S6_seed20250805,SAAug,43,38,10.00050031797631,1.6590209206937318e-18,1.4642973176424547e-05,6.027953109713968e+18,682955.5854187658,189784073.7697861,1
coupling_S6_seed20250805,SAMat,43,38,10.000527806913261,8.405528785902681e-17,0.011501076811105284,1.1897559406001477e+17,869.5296945810228,139896.54253667855,1
coupling_S6_seed20250806,Base,43,38,986.7199624482395,5.473087295305059e-22,0.00011767124344879501,1.8028580748103007e+24,8385395.900720754,824140990.2547026,1
coupling_S6_seed20250806,Flat,43,38,15.408959775235264,2.6503258735050816e-18,0.00043527643741108176,5.813986849419678e+18,35400.39949528167,12568.64296816589,1
coupling_S6_seed20250806,FlatMat,43,38,112.26099825223861,1.4343984388624804e-16,0.005215198674243778,7.826346934765549e+17,21525.73761123623,12568.64296816592,1
coupling_S6_seed20250806,Ruiz,43,38,24.801474999157946,8.047759288087045e-20,0.00011747745680529024,3.0817863844251815e+20,211116.88721917488,21487707.170200586,1
coupling_S6_seed20250806,SAAug,43,38,10.000501041866833,1.6437658543522084e-19,0.00011737077588012203,6.0838963258595795e+19,85204.35318652881,8664315.972697366,1
coupling_S6_seed20250806,SAMat,43,38,10.000547927555013,7.925303149194004e-17,0.004692334264081806,1.2618505234808664e+17,2131.25224349547,125845.04788785825,1
coupling_S6_seed20250807,Base,43,38,900.7485740691068,5.05688738734373e-19,3.894105251367008e-05,1.781231229952799e+21,23131079.3089864,3623213522.898135,1
coupling_S6_seed20250807,Flat,43,38,17.360604814869273,2.3301203192589435e-18,0.0006914546204107862,7.45051861544666e+18,25107.36685012751,18438.875013910798,1
coupling_S6_seed20250807,FlatMat,43,38,128.10816238482235,6.06104085427039e-17,0.007324188221345457,2.1136330452971948e+18,17491.107343673484,16379.67688943989,1
coupling_S6_seed20250807,Ruiz,43,38,24.73876449246848,1.5810289718764243e-19,2.9725104621630953e-05,1.564725563700935e+20,832251.5532700963,102635789.66637215,1
coupling_S6_seed20250807,SAAug,43,38,10.000506500768234,4.4455175743623295e-20,2.9722621441830905e-05,2.2495707942854594e+20,336461.1200374729,41489914.19873007,1
coupling_S6_seed20250807,SAMat,43,38,10.000546095147042,3.1674507472001815e-16,0.0058721175643568265,3.1572854302428756e+16,1703.056177868333,163947.77026688267,1
coupling_S6_seed20250808,Base,43,38,4511776.6637941785,3.252397570662332e-18,0.005994961610836996,1.3872156050329913e+24,752594754.8418512,897800603.2039766,1
coupling_S6_seed20250808,Flat,43,38,29.23283392452157,4.196581773991099e-18,0.001181668552922264,6.965867817874094e+18,24738.60699113032,21220.166604960697,1
coupling_S6_seed20250808,FlatMat,43,38,145.7177304820382,3.0220578375750163e-16,0.012712582165667384,4.821804820220323e+17,11462.480917179451,21220.16660496077,1
coupling_S6_seed20250808,Ruiz,43,38,25.093703646054124,1.0853120882953053e-18,0.00014124558880978806,2.3121186907139944e+19,177660.08735215932,36215842.64529742,1
coupling_S6_seed20250808,SAAug,43,38,10.000500552894541,2.898762142506223e-18,0.000141033723861247,3.449921056388666e+18,70908.57618375956,14432964.563168414,1
coupling_S6_seed20250808,SAMat,43,38,10.000572235782471,3.3531466220141714e-17,0.007839289486609414,2.982444063175298e+17,1275.6988057227413,212243.16156939152,1
coupling_S6_seed20250809,Base,43,38,376.51910113946167,3.946253250230047e-19,7.007183252935629e-06,9.541179373561808e+20,53733303.03324387,2236985493.3935595,1
coupling_S6_seed20250809,Flat,43,38,18.269632055585383,3.0658189462550497e-18,0.0010235743189962163,5.959136001133417e+18,17848.85739757693,25948.649938698672,1
coupling_S6_seed20250809,FlatMat,43,38,159.37638404281586,1.2353740085236182e-16,0.00995713247922165,1.2901063398062326e+18,16006.253243632078,25326.692175084456,1
coupling_S6_seed20250809,Ruiz,43,38,23.33291779177296,3.509788138715924e-18,7.0071078021194456e-06,6.647956192680462e+18,3329892.796099902,351351123.33468026,1
coupling_S6_seed20250809,SAAug,43,38,10.000781028062384,8.831390043733233e-19,7.0070582954453905e-06,1.1324130152261763e+19,1427243.8741608476,150589264.0122538,1
coupling_S6_seed20250809,SAMat,43,38,10.000545395585162,1.1311496708672102e-16,0.007456221147173401,8.841045224296549e+16,1341.235083856961,253598.87103707026,1
coupling_S6_seed20250810,Base,43,38,689578.4062851039,1.8342301551385938e-18,0.0009871517405179644,3.75949770727109e+23,698553604.2546792,100413446421.62558,1
coupling_S6_seed20250810,Flat,43,38,27.456543245997043,2.55511336347763e-18,0.0014494096202477846,1.0745724099155972e+19,18943.259974570334,25114.274124283296,1
coupling_S6_seed20250810,FlatMat,43,38,158.55854239675423,9.260761180699607e-17,0.01674229797283052,1.7121545335518075e+18,9470.536401518106,25114.274124283274,1
coupling_S6_seed20250810,Ruiz,43,38,300.88133778290035,8.188435188453777e-19,0.000924454511355568,3.674466865258487e+20,325469.0567107568,43663860.57134367,1
coupling_S6_seed20250810,SAAug,43,38,300.8813262017754,6.570471801526576e-19,0.0009080133247942166,4.579295601449335e+20,331362.23663894384,43663860.57134367,1
coupling_S6_seed20250810,SAMat,43,38,10.000550082679268,6.6023445561208226e-18,0.009159626839269333,1.5146967865238234e+18,1091.8075875978607,251243.15900171234,1
coupling_S6_seed20250811,Base,43,38,3449023.702063588,1.1704547351827438e-23,0.000173936667233746,2.9467382192486835e+29,19829192756.858986,4754644233877.58,1
coupling_S6_seed20250811,Flat,43,38,22.131978003745676,1.9513288053387292e-18,0.0007703797004313455,1.1342003430274687e+19,28728.66197195188,24282.708861528143,1
coupling_S6_seed20250811,FlatMat,43,38,123.8748630872309,8.703615580405501e-17,0.008838655460495396,1.4232575180148244e+18,14015.125223614936,15313.776052602394,1
coupling_S6_seed20250811,Ruiz,43,38,23.977482567297074,2.508025700296905e-19,0.00012939624770185807,9.560301780184539e+19,185302.7656763556,33080151.294658843,1
coupling_S6_seed20250811,SAAug,43,38,10.000567804703937,1.754736819478772e-18,0.00012906116694561326,5.699183885407108e+18,77487.03999335605,13797030.288433822,1
coupling_S6_seed20250811,SAMat,43,38,10.000548439376608,1.3223597986364363e-16,0.0075399010663087206,7.562653106732954e+16,1326.3500875446548,153266.08403550548,1
coupling_S6_seed20250812,Base,43,38,381.6878331551064,9.466507096988015e-23,1.4157394329450078e-05,4.031981693401456e+24,26960316.586020563,1701035000.0092847,1
coupling_S6_seed20250812,Flat,43,38,21.395347108273107,4.351317645740769e-18,0.0006238608753167602,4.91698121124659e+18,34295.06153500938,20149.459542237233,1
coupling_S6_seed20250812,FlatMat,43,38,110.75550646582238,1.509747838370344e-17,0.006686518336908564,7.336026828518224e+18,16564.002502538402,12241.999418266394,1
coupling_S6_seed20250812,Ruiz,43,38,23.050068505142033,3.1635406230406804e-18,1.4157014667613754e-05,7.286161694041135e+18,1628172.962049156,283762645.8652176,1
coupling_S6_seed20250812,SAAug,43,38,10.000500319386125,8.162087732413958e-18,1.4156861776973546e-05,1.2252380331163694e+18,706406.5805637916,123113228.19058685,1
coupling_S6_seed20250812,SAMat,43,38,10.000548861782647,4.003681731019058e-17,0.005941297043671703,2.4978381234207658e+17,1683.2265393016503,122526.35275608311,1
coupling_S6_seed20250813,Base,43,38,91619206.40262695,1.8467367455964337e-18,0.005599784562536517,4.961140596844356e+25,16361202003.301083,17960826583.41771,1
coupling_S6_seed20250813,Flat,43,38,16.951928237284093,2.506116103958719e-18,0.0007771779826396194,6.764223018441339e+18,21812.157081069512,18163.551553591376,1
coupling_S6_seed20250813,FlatMat,43,38,119.43129805377431,2.111393544882029e-16,0.009080212575517374,5.6565152594727366e+17,13152.918729655328,18557.42018425611,1
coupling_S6_seed20250813,Ruiz,43,38,91.61952279283466,4.65417028964035e-18,0.0007740240967263777,1.9685468534911414e+19,118367.79136505711,8751888.905064927,1
coupling_S6_seed20250813,SAAug,43,38,91.61941417159763,3.893497675050524e-18,0.0007101062785546792,2.3531390492074385e+19,129022.11533472987,8751888.905064927,1
coupling_S6_seed20250813,SAMat,43,38,10.000563454876398,5.318121309447845e-17,0.007137459990507169,1.880469224556803e+17,1401.137585104107,142449.56280850468,1
coupling_S6_seed20250814,Base,43,38,516.5551724023164,2.4800071744221416e-22,4.5556335071814664e-05,2.0828777341044476e+24,11338821.957210183,1558485187.5211844,1
coupling_S6_seed20250814,Flat,43,38,18.642002107772385,1.874553088932224e-18,0.0004159071937429688,9.944771485981852e+18,44822.50460734557,17981.882915293034,1
coupling_S6_seed20250814,FlatMat,43,38,119.15951271956861,6.811750179007568e-17,0.0049641876920356355,1.7493230019913833e+18,24003.829047548676,14159.238576430313,1
coupling_S6_seed20250814,Ruiz,43,38,24.217643405838768,1.5921055344040385e-21,4.54676981268939e-05,1.5211079217122365e+22,532634.0325883831,80453335.33468653,1
coupling_S6_seed20250814,SAAug,43,38,10.000507297229104,2.00840697478997e-20,4.5389995691715366e-05,4.979323126616263e+20,220324.04156086774,33222620.686331775,1
coupling_S6_seed20250814,SAMat,43,38,10.000597731715875,6.397097842000334e-17,0.004479429209030777,1.5633022940585114e+17,2232.560727057393,141749.9296141252,1
